participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
1242, 34, Male, Somecollege, 41, Yes, "unmuted a call", smartphone, noone, 2 
1242, 34, Male, Somecollege, 41, Yes, "sent premium texts or calls", smartphone, noone, 1 
1242, 34, Male, Somecollege, 41, Yes, " your gender ", cubetastic3000, work, 2 
1242, 34, Male, Somecollege, 41, Yes, " the language you were speaking ", cubetastic3000, public, 1 
1242, 34, Male, Somecollege, 41, Yes, " recorded your work conversations ", cubetastic3000, public, 2 
1242, 34, Male, Somecollege, 41, Yes, " photos of you (with an inward-facing camera) at home ", cubetastic3000, friends, 2 
1242, 34, Male, Somecollege, 41, Yes, " shared videos you downloaded on the internet saved on your device ", cubetastic3000, friends, 1 
1242, 34, Male, Somecollege, 41, Yes, " videos of you (with an inward-facing camera) at home ", cubetastic3000, public, 3 
498, 35, Female, Highschool, 60, No, "took screenshots while using other apps", smartphone, noone, 5 
498, 35, Female, Highschool, 60, No, "sent premium texts or calls", smartphone, noone, 5 
498, 35, Female, Highschool, 60, No, " your heart rate ", cubetastic3000, friends, 1 
498, 35, Female, Highschool, 60, No, " when, how much, and what you are eating ", cubetastic3000, work, 5 
498, 35, Female, Highschool, 60, No, " when you are sick or healthy ", cubetastic3000, public, 5 
498, 35, Female, Highschool, 60, No, " what medical conditions you have ", cubetastic3000, friends, 5 
498, 35, Female, Highschool, 60, No, " videos of you (with an inward-facing camera) at random ", cubetastic3000, work, 5 
498, 35, Female, Highschool, 60, No, " how much you use your computer ", cubetastic3000, friends, 5 
2115, 28, Male, Masters, 55, No, "took screenshots while using other apps", smartphone, noone, 4 
2115, 28, Male, Masters, 55, No, "sent premium texts or calls", smartphone, noone, 5 
2115, 28, Male, Masters, 55, No, " shared photos you which are already on your device ", cubetastic3000, friends, 5 
2115, 28, Male, Masters, 55, No, " shared photos you downloaded from the internet saved on your device ", cubetastic3000, public, 5 
2115, 28, Male, Masters, 55, No, " a photo of you unclothed ", cubetastic3000, public, 5 
2115, 28, Male, Masters, 55, No, " shared videos others sent you saved on your device ", cubetastic3000, work, 5 
2115, 28, Male, Masters, 55, No, " how much you use your computer ", cubetastic3000, appserver, 3 
2115, 28, Male, Masters, 55, No, " your bank account information ", cubetastic3000, public, 5 
1304, 30, Male, Bachelors, 66, No, "vibration", smartphone, noone, 2 
1304, 30, Male, Bachelors, 66, No, "took screenshots while using other apps", smartphone, noone, 2 
1304, 30, Male, Bachelors, 66, No, " your gender ", cubetastic3000, public, 1 
1304, 30, Male, Bachelors, 66, No, " what medical conditions you have ", cubetastic3000, public, 3 
1304, 30, Male, Bachelors, 66, No, " a photo of you unclothed ", cubetastic3000, work, 5 
1304, 30, Male, Bachelors, 66, No, " where you are (like a GPS) ", cubetastic3000, friends, 5 
