ID,age,gender,education,IUIPC,data,device,recipient,likert,Male,wearable,VUR,appserver,IUIPCmean,risk,medium
1242,34, Male, Somecollege,41,unmuted a call, smartphone, noone,2,1,0,0,0,4.1,,
1242,34, Male, Somecollege,41,sent premium texts or calls, smartphone, noone,1,1,0,0,0,4.1,,
1242,34, Male, Somecollege,41, your gender, cubetastic3000, work,2,1,1,0,0,4.1,medical,demographic
1242,34, Male, Somecollege,41, the language you were speaking, cubetastic3000, public,1,1,1,0,0,4.1,image,demographic
1242,34, Male, Somecollege,41, recorded your work conversations, cubetastic3000, public,2,1,1,0,0,4.1,relationships,audio
1242,34, Male, Somecollege,41, photos of you (with an inward-facing camera) at home, cubetastic3000, friends,2,1,1,0,0,4.1,image,photo
1242,34, Male, Somecollege,41, shared videos you downloaded on the internet saved on your device, cubetastic3000, friends,1,1,1,0,0,4.1,image,video
1242,34, Male, Somecollege,41, videos of you (with an inward-facing camera) at home, cubetastic3000, public,3,1,1,0,0,4.1,image,video
498,35, Female, Highschool,60,took screenshots while using other apps, smartphone, noone,5,0,0,1,0,6,,
498,35, Female, Highschool,60,sent premium texts or calls, smartphone, noone,5,0,0,1,0,6,,
498,35, Female, Highschool,60, your heart rate, cubetastic3000, friends,1,0,1,0,0,6,medical,biometric
498,35, Female, Highschool,60," when, how much, and what you are eating", cubetastic3000, work,5,0,1,1,0,6,medical,behavior
498,35, Female, Highschool,60, when you are sick or healthy, cubetastic3000, public,5,0,1,1,0,6,medical,biometric
498,35, Female, Highschool,60, what medical conditions you have, cubetastic3000, friends,5,0,1,1,0,6,medical,demographic
498,35, Female, Highschool,60, videos of you (with an inward-facing camera) at random, cubetastic3000, work,5,0,1,1,0,6,image,video
498,35, Female, Highschool,60, how much you use your computer, cubetastic3000, friends,5,0,1,1,0,6,image,behavior
2115,28, Male, Masters,55,took screenshots while using other apps, smartphone, noone,4,1,0,0,0,5.5,,
2115,28, Male, Masters,55,sent premium texts or calls, smartphone, noone,5,1,0,1,0,5.5,,
2115,28, Male, Masters,55, shared photos you which are already on your device, cubetastic3000, friends,5,1,1,1,0,5.5,image,photo
2115,28, Male, Masters,55, shared photos you downloaded from the internet saved on your device, cubetastic3000, public,5,1,1,1,0,5.5,image,photo
2115,28, Male, Masters,55, a photo of you unclothed, cubetastic3000, public,5,1,1,1,0,5.5,image,photo
2115,28, Male, Masters,55, shared videos others sent you saved on your device, cubetastic3000, work,5,1,1,1,0,5.5,relationships,video
2115,28, Male, Masters,55, how much you use your computer, cubetastic3000, appserver,3,1,1,0,1,5.5,image,behavior
2115,28, Male, Masters,55, your bank account information, cubetastic3000, public,5,1,1,1,0,5.5,financial,demographic
1304,30, Male, Bachelors,66,vibration, smartphone, noone,2,1,0,0,0,6.6,,
1304,30, Male, Bachelors,66,took screenshots while using other apps, smartphone, noone,2,1,0,0,0,6.6,,
