ID, cube, smartphone
32,0,0
44,1,0.5
56,1,0
74,0,0.5
127,0,0
155,0,0
178,1,1
197,0,0.5
201,0,0.5
211,1,0.5
277,0,0
282,0,0.5
291,0,1
312,0,0.5
314,1,0
337,0,1
351,1,1
352,1,0
360,1,1
371,1,0.5
389,0.5,0.5
420,1,1
441,1,0
443,1,0
452,1,1
453,1,0.5
459,0,1
523,0,0
528,1,0.5
534,1,0.5
537,1,0.5
553,0.5,0.5
567,0,0
584,1,0.5
598,0,0.5
615,0,1
654,0,0
672,1,1
720,0,0
734,1,0
738,0,0.5
742,1,0.5
755,1,1
762,0,0
773,0,0
790,1,0
804,1,0.5
844,0,0
919,0,0.5
943,1,0.5
946,0,0
976,0,0
996,0,0
1032,0,1
1052,0,0
1055,1,1
1083,0,0
1133,0,1
1140,0,0.5
1141,1,1
1224,1,1
1227,1,0
1238,1,1
1252,0,0.5
1262,1,1
1280,1,1
1312,0,0
1327,1,0.5
1335,1,1
1337,0,0
1339,1,0.5
1342,1,0.5
1356,1,0.5
1357,1,1
1385,1,0.5
1392,1,0.5
1396,1,1
1424,0,0.5
1427,1,0
1457,0,0.5
1498,1,0.5
1518,1,0.5
1532,0,0.5
1534,1,1
1541,1,0
1563,1,0.5
1573,1,0
1578,1,0
1588,0,0
1594,1,0.5
1615,0,0.5
1616,1,0.5
1624,1,1
1650,1,1
1660,0,1
1664,0,0.5
1699,0,0
1704,1,1
1711,0,0.5
1746,1,1
1753,1,0.5
1763,0,0.5
1765,1,1
1776,0,0
1785,1,0
1787,0,1
1792,0,0.5
1795,0,0
1797,1,1
1813,0,0
1815,1,0.5
1844,0,0.5
1847,1,1
1852,0,0.5
1856,0,0.5
1860,1,1
1861,0,0
1864,0,0
1873,1,0.5
1878,0,0
1882,1,0
1887,1,0.5
1893,1,1
1894,0,0.5
1898,1,1
1899,0,0
1940,0,0
1946,1,0.5
1951,1,0.5
1953,1,1
1974,1,0.5
1991,0,0
2003,1,0.5
2007,0,0
2008,0,0
2017,1,1
2039,1,1
2061,1,0.5
2071,1,0.5
2099,1,0.5
2107,1,1
2144,0,1
2145,1,0.5
2160,0,0
2166,1,0.5
2190,1,0
2195,1,0.5
2204,1,1
2219,0,0
2222,1,1
2257,1,1
2259,1,0
2263,1,0.5
2298,0,0.5
2302,1,0.5
2309,1,0
2329,1,1
2342,1,0
2391,1,0
