Response ID,AGE,SEX,EDUCATION,TOTAL IUIPC (70),VUR (out of 8) ,Answers,Likert
1242,34,Male,"Some college credit,  or Associate's degree",41,0,8,1.75
498,35,Female,"High school graduate, diploma or the equivalent (for example: GED)",60,7,8,4.5
2115,28,Male,Master's degree,55,6,8,4.625
1304,30,Male,Bachelorês degree,66,4,8,3.5
1273,27,Female,Bachelorês degree,41,4,8,3.375
1342,19,Male,"Some college credit,  or Associate's degree",66,6,8,4.375
2163,23,Male,"Some college credit,  or Associate's degree",66,8,8,5
1499,26,Female,Bachelorês degree,66,6,8,4.25
2070,23,Male,"High school graduate, diploma or the equivalent (for example: GED)",48,0,8,3.125
1987,21,Female,"High school graduate, diploma or the equivalent (for example: GED)",50,2,8,3.625
564,24,Male,Bachelorês degree,70,8,8,5
431,32,Female,Master's degree,53,3,8,3.25
510,19,Male,"Some college credit,  or Associate's degree",58,2,8,3.75
2220,21,Female,"Some college credit,  or Associate's degree",40,4,8,3.875
2266,34,Male,"Some college credit,  or Associate's degree",68,5,6,3.5
1265,21,Male,"Some college credit,  or Associate's degree",41,4,8,3.625
617,32,Male,Bachelorês degree,64,4,8,3.75
1761,30,Female,Master's degree,61,6,8,4.75
1104,32,Male,Master's degree,61,5,8,4
2346,25,Male,Master's degree,65,6,8,4.75
330,26,Male,"Some college credit,  or Associate's degree",64,2,8,3.125
2074,19,Male,"Some college credit,  or Associate's degree",55,7,8,4.75
619,21,Male,"Some college credit,  or Associate's degree",59,3,8,4.25
996,30,Male,Bachelorês degree,39,0,8,3.375
569,38,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",70,7,7,4.375
2010,32,Female,Master's degree,34,1,8,2.375
1314,44,Male,Master's degree,67,3,8,4.125
997,30,Female,Master's degree,65,7,8,4.875
1896,19,Female,"Some college credit,  or Associate's degree",61,4,8,3.625
593,22,Female,Bachelorês degree,53,4,8,4
1817,26,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",63,6,8,4.375
528,37,Male,"High school graduate, diploma or the equivalent (for example: GED)",69,7,8,4.625
453,42,Male,"Some college credit,  or Associate's degree",61,4,8,4.125
1760,34,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",54,3,8,4.25
2087,34,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",63,4,8,4
2171,44,Male,Bachelorês degree,70,5,8,4.5
277,33,Female,Bachelorês degree,48,2,8,3.125
1779,23,Female,"Some college credit,  or Associate's degree",68,5,8,4
820,34,Male,"Some college credit,  or Associate's degree",59,7,8,4.875
2107,35,Male,Master's degree,62,6,8,4.375
2091,25,Male,"Some college credit,  or Associate's degree",70,8,8,5
