participantID, age, gender, education, IUIPC, data, device, recipient, likert
1242, 34, Male, Somecollege, 41, "unmuted a call", smartphone, noone, 2 
1242, 34, Male, Somecollege, 41, "sent premium texts or calls", smartphone, noone, 1 
1242, 34, Male, Somecollege, 41, " your gender ", cubetastic3000, work, 2 
1242, 34, Male, Somecollege, 41, " the language you were speaking ", cubetastic3000, public, 1 
1242, 34, Male, Somecollege, 41, " recorded your work conversations ", cubetastic3000, public, 2 
1242, 34, Male, Somecollege, 41, " photos of you (with an inward-facing camera) at home ", cubetastic3000, friends, 2 
1242, 34, Male, Somecollege, 41, " shared videos you downloaded on the internet saved on your device ", cubetastic3000, friends, 1 
1242, 34, Male, Somecollege, 41, " videos of you (with an inward-facing camera) at home ", cubetastic3000, public, 3 
498, 35, Female, Highschool, 60, "took screenshots while using other apps", smartphone, noone, 5 
498, 35, Female, Highschool, 60, "sent premium texts or calls", smartphone, noone, 5 
498, 35, Female, Highschool, 60, " your heart rate ", cubetastic3000, friends, 1 
498, 35, Female, Highschool, 60, " when, how much, and what you are eating ", cubetastic3000, work, 5 
498, 35, Female, Highschool, 60, " when you are sick or healthy ", cubetastic3000, public, 5 
498, 35, Female, Highschool, 60, " what medical conditions you have ", cubetastic3000, friends, 5 
498, 35, Female, Highschool, 60, " videos of you (with an inward-facing camera) at random ", cubetastic3000, work, 5 
498, 35, Female, Highschool, 60, " how much you use your computer ", cubetastic3000, friends, 5 
2115, 28, Male, Masters, 55, "took screenshots while using other apps", smartphone, noone, 4 
2115, 28, Male, Masters, 55, "sent premium texts or calls", smartphone, noone, 5 
2115, 28, Male, Masters, 55, " shared photos you which are already on your device ", cubetastic3000, friends, 5 
2115, 28, Male, Masters, 55, " shared photos you downloaded from the internet saved on your device ", cubetastic3000, public, 5 
2115, 28, Male, Masters, 55, " a photo of you unclothed ", cubetastic3000, public, 5 
2115, 28, Male, Masters, 55, " shared videos others sent you saved on your device ", cubetastic3000, work, 5 
2115, 28, Male, Masters, 55, " how much you use your computer ", cubetastic3000, appserver, 3 
2115, 28, Male, Masters, 55, " your bank account information ", cubetastic3000, public, 5 
1304, 30, Male, Bachelors, 66, "vibration", smartphone, noone, 2 
1304, 30, Male, Bachelors, 66, "took screenshots while using other apps", smartphone, noone, 2 
1304, 30, Male, Bachelors, 66, " your gender ", cubetastic3000, public, 1 
1304, 30, Male, Bachelors, 66, " what medical conditions you have ", cubetastic3000, public, 3 
1304, 30, Male, Bachelors, 66, " a photo of you unclothed ", cubetastic3000, work, 5 
1304, 30, Male, Bachelors, 66, " where you are (like a GPS) ", cubetastic3000, friends, 5 
1304, 30, Male, Bachelors, 66, " what websites you go to ", cubetastic3000, appserver, 5 
1273, 27, Female, Bachelors, 41, "connected to a bluetooth device", smartphone, noone, 1 
1273, 27, Female, Bachelors, 41, "unmuted a call", smartphone, noone, 5 
1273, 27, Female, Bachelors, 41, " when you were happy or having fun ", cubetastic3000, appserver, 2 
1273, 27, Female, Bachelors, 41, " photos of you (with an inward-facing camera) at random ", cubetastic3000, appserver, 2 
1273, 27, Female, Bachelors, 41, " a video of you off-guard ", cubetastic3000, public, 5 
1273, 27, Female, Bachelors, 41, " what television shows you watch ", cubetastic3000, appserver, 2 
1273, 27, Female, Bachelors, 41, " your bank account information ", cubetastic3000, public, 5 
1273, 27, Female, Bachelors, 41, " your credit card information ", cubetastic3000, appserver, 5 
1342, 19, Male, Somecollege, 66, "connected to a bluetooth device", smartphone, noone, 1 
1342, 19, Male, Somecollege, 66, "sent premium texts or calls", smartphone, noone, 5 
1342, 19, Male, Somecollege, 66, "took screenshots while using other apps", cubetastic3000, noone, 5 
1342, 19, Male, Somecollege, 66, " when you were lying, nervous, or stressed ", cubetastic3000, work, 5 
1342, 19, Male, Somecollege, 66, " when you were happy or having fun ", cubetastic3000, friends, 4 
1342, 19, Male, Somecollege, 66, " recorded your phone conversations ", cubetastic3000, friends, 5 
1342, 19, Male, Somecollege, 66, " a video of you entering in your PIN at an ATM ", cubetastic3000, appserver, 5 
1342, 19, Male, Somecollege, 66, " where you are (like a GPS) ", cubetastic3000, work, 5 
2163, 23, Male, Somecollege, 66, "vibration", smartphone, noone, 5 
2163, 23, Male, Somecollege, 66, "took screenshots while using other apps", smartphone, noone, 5 
2163, 23, Male, Somecollege, 66, " your heart rate ", cubetastic3000, friends, 5 
2163, 23, Male, Somecollege, 66, " your fingerprint somehow ", cubetastic3000, public, 5 
2163, 23, Male, Somecollege, 66, " photos of people (with an outward-facing camera) at random ", cubetastic3000, work, 5 
2163, 23, Male, Somecollege, 66, " a photo of you off-guard ", cubetastic3000, appserver, 5 
2163, 23, Male, Somecollege, 66, " how much you use your computer ", cubetastic3000, friends, 5 
2163, 23, Male, Somecollege, 66, " your address ", cubetastic3000, friends, 5 
1499, 26, Female, Bachelors, 66, "vibration", smartphone, noone, 2 
1499, 26, Female, Bachelors, 66, "unmuted a call", smartphone, noone, 5 
1499, 26, Female, Bachelors, 66, " your heart rate ", cubetastic3000, appserver, 2 
1499, 26, Female, Bachelors, 66, " copied and uploaded sounds saved on your device (notification noises, etc.) ", cubetastic3000, public, 5 
1499, 26, Female, Bachelors, 66, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, friends, 5 
1499, 26, Female, Bachelors, 66, " how much you use your computer ", cubetastic3000, public, 5 
1499, 26, Female, Bachelors, 66, " how much debt you have ", cubetastic3000, friends, 5 
1499, 26, Female, Bachelors, 66, " how much debt you have ", cubetastic3000, work, 5 
2070, 23, Male, Highschool, 48, "unmuted a call", smartphone, noone, 4 
2070, 23, Male, Highschool, 48, "took screenshots while using other apps", smartphone, noone, 4 
2070, 23, Male, Highschool, 48, " your age ", cubetastic3000, work, 4 
2070, 23, Male, Highschool, 48, " the language you were speaking ", cubetastic3000, work, 2 
2070, 23, Male, Highschool, 48, " copied and uploaded audio recordings you made on your device ", cubetastic3000, friends, 3 
2070, 23, Male, Highschool, 48, " photos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
2070, 23, Male, Highschool, 48, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 1 
2070, 23, Male, Highschool, 48, " where you are (like a GPS) ", cubetastic3000, public, 3 
1987, 21, Female, Highschool, 50, "connected to a bluetooth device", smartphone, noone, 1 
1987, 21, Female, Highschool, 50, "took screenshots while using other apps", smartphone, noone, 4 
1987, 21, Female, Highschool, 50, " your fingerprint somehow ", cubetastic3000, appserver, 3 
1987, 21, Female, Highschool, 50, " when, how much, and what you are eating ", cubetastic3000, friends, 5 
1987, 21, Female, Highschool, 50, " a photo of you intoxicated ", cubetastic3000, appserver, 3 
1987, 21, Female, Highschool, 50, " shared videos you downloaded on the internet saved on your device ", cubetastic3000, appserver, 4 
1987, 21, Female, Highschool, 50, " videos of people (with an outward-facing camera) at random ", cubetastic3000, work, 4 
1987, 21, Female, Highschool, 50, " a video of you unclothed ", cubetastic3000, appserver, 5 
564, 24, Male, Bachelors, 70, "vibration", smartphone, noone, 5 
564, 24, Male, Bachelors, 70, "took screenshots while using other apps", smartphone, noone, 5 
564, 24, Male, Bachelors, 70, " your fingerprint somehow ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, " copied and uploaded audio recordings you made on your device ", cubetastic3000, appserver, 5 
564, 24, Male, Bachelors, 70, " recorded your passing conversations ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, " shared photos you which are already on your device ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, " a video of you intoxicated ", cubetastic3000, friends, 5 
564, 24, Male, Bachelors, 70, " your username and password for websites ", cubetastic3000, work, 5 
431, 32, Female, Masters, 53, "took screenshots while using other apps", smartphone, noone, 5 
431, 32, Female, Masters, 53, "sent premium texts or calls", smartphone, noone, 5 
431, 32, Female, Masters, 53, " your gender ", cubetastic3000, friends, 1 
431, 32, Female, Masters, 53, " your gender ", cubetastic3000, work, 1 
431, 32, Female, Masters, 53, " what medical conditions you have ", cubetastic3000, friends, 5 
431, 32, Female, Masters, 53, " when you are busy or interruptible ", cubetastic3000, public, 3 
431, 32, Female, Masters, 53, " what television shows you watch ", cubetastic3000, public, 2 
431, 32, Female, Masters, 53, " what products you buy ", cubetastic3000, appserver, 4 
510, 19, Male, Somecollege, 58, "connected to a bluetooth device", smartphone, noone, 2 
510, 19, Male, Somecollege, 58, "sent premium texts or calls", smartphone, noone, 5 
510, 19, Male, Somecollege, 58, " the language you were speaking ", cubetastic3000, friends, 4 
510, 19, Male, Somecollege, 58, " the language you were speaking ", cubetastic3000, appserver, 4 
510, 19, Male, Somecollege, 58, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, appserver, 2 
510, 19, Male, Somecollege, 58, " who you were spending time with ", cubetastic3000, work, 4 
510, 19, Male, Somecollege, 58, " who you were spending time with ", cubetastic3000, public, 4 
510, 19, Male, Somecollege, 58, " where you are very accurately (more than GPS, like where you are in a room) ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, "vibration", smartphone, noone, 1 
2220, 21, Female, Somecollege, 40, "sent premium texts or calls", smartphone, noone, 5 
2220, 21, Female, Somecollege, 40, " when, how much, and what you are eating ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, " recorded your work conversations ", cubetastic3000, appserver, 3 
2220, 21, Female, Somecollege, 40, " recorded the sound around you ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, " videos of people (with an outward-facing camera) at random ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, " videos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 4 
2220, 21, Female, Somecollege, 40, " how much money you have ", cubetastic3000, appserver, 3 
2266, 34, Male, Somecollege, 68, "took screenshots while using other apps", smartphone, noone, 5 
2266, 34, Male, Somecollege, 68, "sent premium texts or calls", smartphone, noone, 5 
2266, 34, Male, Somecollege, 68, " when you are busy or interruptible ", cubetastic3000, friends, 3 
2266, 34, Male, Somecollege, 68, " a video of you unclothed ", cubetastic3000, work, 5 
2266, 34, Male, Somecollege, 68, " how much you use your phone ", cubetastic3000, friends, 5 
2266, 34, Male, Somecollege, 68, " what television shows you watch ", cubetastic3000, public, 5 
1265, 21, Male, Somecollege, 41, "vibration", smartphone, noone, 1 
1265, 21, Male, Somecollege, 41, "connected to a bluetooth device", smartphone, noone, 3 
1265, 21, Male, Somecollege, 41, " when you were lying, nervous, or stressed ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, " how close you are to other people you interact with ", cubetastic3000, appserver, 1 
1265, 21, Male, Somecollege, 41, " photos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
1265, 21, Male, Somecollege, 41, " photos at work (with an outward-facing camera) ", cubetastic3000, appserver, 5 
1265, 21, Male, Somecollege, 41, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
617, 32, Male, Bachelors, 64, "vibration", smartphone, noone, 2 
617, 32, Male, Bachelors, 64, "sent premium texts or calls", smartphone, noone, 5 
617, 32, Male, Bachelors, 64, " your gender ", cubetastic3000, appserver, 1 
617, 32, Male, Bachelors, 64, " when you were happy or having fun ", cubetastic3000, friends, 3 
617, 32, Male, Bachelors, 64, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
